n,m,final_balance,total_return,trade_count,yearly_details
5,30,"₩78,732,364",7773.24%,158,"2014: ₩517,678 (-48.23%); 2015: ₩703,029 (35.80%); 2016: ₩805,330 (14.55%); 2017: ₩3,800,541 (371.92%); 2018: ₩2,991,529 (-21.29%); 2019: ₩7,312,410 (144.44%); 2020: ₩11,774,636 (61.02%); 2021: ₩78,957,412 (570.57%); 2022: ₩50,399,367 (-36.17%); 2023: ₩62,887,994 (24.78%); 2024: ₩82,086,392 (30.53%); 2025: ₩78,732,364 (-4.09%)"
5,31,"₩80,261,448",7926.14%,150,"2014: ₩544,264 (-45.57%); 2015: ₩618,935 (13.72%); 2016: ₩993,483 (60.51%); 2017: ₩4,686,991 (371.77%); 2018: ₩3,612,841 (-22.92%); 2019: ₩8,333,117 (130.65%); 2020: ₩13,389,814 (60.68%); 2021: ₩82,359,192 (515.09%); 2022: ₩50,504,863 (-38.68%); 2023: ₩63,019,632 (24.78%); 2024: ₩83,680,616 (32.78%); 2025: ₩80,261,448 (-4.09%)"
5,32,"₩344,200,050",34320.01%,134,"2014: ₩463,507 (-53.65%); 2015: ₩466,142 (0.57%); 2016: ₩765,671 (64.26%); 2017: ₩2,167,439 (183.08%); 2018: ₩7,324,352 (237.93%); 2019: ₩17,278,222 (135.90%); 2020: ₩29,139,991 (68.65%); 2021: ₩168,187,934 (477.17%); 2022: ₩112,446,458 (-33.14%); 2023: ₩151,186,550 (34.45%); 2024: ₩358,863,101 (137.36%); 2025: ₩344,200,050 (-4.09%)"
5,33,"₩278,234,270",27723.43%,134,"2014: ₩558,912 (-44.11%); 2015: ₩553,391 (-0.99%); 2016: ₩869,554 (57.13%); 2017: ₩2,551,606 (193.44%); 2018: ₩8,384,192 (228.58%); 2019: ₩16,783,197 (100.18%); 2020: ₩29,174,933 (73.83%); 2021: ₩132,432,113 (353.92%); 2022: ₩85,930,867 (-35.11%); 2023: ₩120,402,072 (40.12%); 2024: ₩290,087,154 (140.93%); 2025: ₩278,234,270 (-4.09%)"
5,34,"₩381,523,103",38052.31%,128,"2014: ₩629,688 (-37.03%); 2015: ₩546,387 (-13.23%); 2016: ₩1,224,055 (124.03%); 2017: ₩5,145,751 (320.39%); 2018: ₩13,029,710 (153.21%); 2019: ₩26,004,289 (99.58%); 2020: ₩44,507,903 (71.16%); 2021: ₩194,903,783 (337.91%); 2022: ₩126,589,042 (-35.05%); 2023: ₩160,988,296 (27.17%); 2024: ₩388,316,930 (141.21%); 2025: ₩381,523,103 (-1.75%)"
5,35,"₩298,760,618",29776.06%,126,"2014: ₩487,878 (-51.21%); 2015: ₩565,440 (15.90%); 2016: ₩845,264 (49.49%); 2017: ₩3,421,568 (304.79%); 2018: ₩9,610,768 (180.89%); 2019: ₩18,200,726 (89.38%); 2020: ₩33,906,718 (86.29%); 2021: ₩141,252,555 (316.59%); 2022: ₩92,086,580 (-34.81%); 2023: ₩116,451,863 (26.46%); 2024: ₩304,080,685 (161.12%); 2025: ₩298,760,618 (-1.75%)"
5,36,"₩378,118,061",37711.81%,122,"2014: ₩492,949 (-50.71%); 2015: ₩564,965 (14.61%); 2016: ₩844,554 (49.49%); 2017: ₩3,418,693 (304.79%); 2018: ₩6,218,456 (81.90%); 2019: ₩12,021,682 (93.32%); 2020: ₩18,864,337 (56.92%); 2021: ₩168,187,282 (791.56%); 2022: ₩123,752,359 (-26.42%); 2023: ₩156,496,124 (26.46%); 2024: ₩394,226,032 (151.91%); 2025: ₩378,118,061 (-4.09%)"
5,37,"₩92,291,808",9129.18%,114,"2014: ₩522,421 (-47.76%); 2015: ₩600,573 (14.96%); 2016: ₩913,972 (52.18%); 2017: ₩2,622,434 (186.93%); 2018: ₩4,708,861 (79.56%); 2019: ₩2,739,374 (-41.83%); 2020: ₩4,960,818 (81.09%); 2021: ₩40,197,998 (710.31%); 2022: ₩30,205,722 (-24.86%); 2023: ₩38,197,885 (26.46%); 2024: ₩96,223,474 (151.91%); 2025: ₩92,291,808 (-4.09%)"
5,38,"₩82,781,752",8178.18%,110,"2014: ₩524,186 (-47.58%); 2015: ₩571,350 (9.00%); 2016: ₩883,494 (54.63%); 2017: ₩3,695,875 (318.32%); 2018: ₩6,322,837 (71.08%); 2019: ₩3,737,056 (-40.90%); 2020: ₩4,863,337 (30.14%); 2021: ₩37,219,567 (665.31%); 2022: ₩26,957,964 (-27.57%); 2023: ₩34,921,231 (29.54%); 2024: ₩86,308,286 (147.15%); 2025: ₩82,781,752 (-4.09%)"
5,39,"₩64,782,124",6378.21%,104,"2014: ₩563,030 (-43.70%); 2015: ₩477,125 (-15.26%); 2016: ₩1,171,194 (145.47%); 2017: ₩3,152,633 (169.18%); 2018: ₩9,785,350 (210.39%); 2019: ₩3,333,353 (-65.94%); 2020: ₩4,328,055 (29.84%); 2021: ₩31,335,346 (624.01%); 2022: ₩21,541,856 (-31.25%); 2023: ₩27,520,006 (27.75%); 2024: ₩67,541,867 (145.43%); 2025: ₩64,782,124 (-4.09%)"
5,40,"₩35,982,319",3498.23%,102,"2014: ₩563,030 (-43.70%); 2015: ₩537,769 (-4.49%); 2016: ₩1,314,722 (144.48%); 2017: ₩1,598,137 (21.56%); 2018: ₩4,843,166 (203.05%); 2019: ₩5,425,005 (12.01%); 2020: ₩7,156,804 (31.92%); 2021: ₩29,367,525 (310.34%); 2022: ₩11,588,372 (-60.54%); 2023: ₩15,285,600 (31.90%); 2024: ₩37,515,179 (145.43%); 2025: ₩35,982,319 (-4.09%)"
5,41,"₩35,450,932",3445.09%,102,"2014: ₩539,339 (-46.07%); 2015: ₩676,547 (25.44%); 2016: ₩1,005,781 (48.66%); 2017: ₩1,222,598 (21.56%); 2018: ₩3,769,811 (208.34%); 2019: ₩4,986,565 (32.28%); 2020: ₩6,578,402 (31.92%); 2021: ₩28,763,741 (337.25%); 2022: ₩11,417,235 (-60.31%); 2023: ₩15,059,862 (31.90%); 2024: ₩36,961,155 (145.43%); 2025: ₩35,450,932 (-4.09%)"
5,42,"₩46,734,593",4573.46%,102,"2014: ₩563,030 (-43.70%); 2015: ₩677,661 (20.36%); 2016: ₩1,001,279 (47.76%); 2017: ₩1,253,696 (25.21%); 2018: ₩3,442,242 (174.57%); 2019: ₩4,612,460 (34.00%); 2020: ₩5,880,860 (27.50%); 2021: ₩25,650,812 (336.17%); 2022: ₩10,181,615 (-60.31%); 2023: ₩12,539,139 (23.15%); 2024: ₩48,538,224 (287.09%); 2025: ₩46,734,593 (-3.72%)"
5,43,"₩36,697,719",3569.77%,104,"2014: ₩563,030 (-43.70%); 2015: ₩678,561 (20.52%); 2016: ₩959,059 (41.34%); 2017: ₩1,090,732 (13.73%); 2018: ₩3,137,392 (187.64%); 2019: ₩4,103,906 (30.81%); 2020: ₩5,240,600 (27.70%); 2021: ₩22,858,164 (336.17%); 2022: ₩8,294,668 (-63.71%); 2023: ₩10,088,824 (21.63%); 2024: ₩38,113,997 (277.78%); 2025: ₩36,697,719 (-3.72%)"
5,44,"₩24,263,556",2326.36%,96,"2014: ₩563,030 (-43.70%); 2015: ₩509,083 (-9.58%); 2016: ₩1,080,604 (112.26%); 2017: ₩1,273,980 (17.90%); 2018: ₩3,490,006 (173.95%); 2019: ₩4,570,837 (30.97%); 2020: ₩5,791,183 (26.70%); 2021: ₩14,453,382 (149.58%); 2022: ₩5,216,905 (-63.91%); 2023: ₩6,345,334 (21.63%); 2024: ₩23,981,167 (277.93%); 2025: ₩24,263,556 (1.18%)"
5,45,"₩104,265,090",10326.51%,98,"2014: ₩850,569 (-14.94%); 2015: ₩778,048 (-8.53%); 2016: ₩1,651,522 (112.26%); 2017: ₩2,212,363 (33.96%); 2018: ₩5,836,584 (163.82%); 2019: ₩7,739,833 (32.61%); 2020: ₩12,836,868 (65.85%); 2021: ₩65,520,600 (410.41%); 2022: ₩21,946,560 (-66.50%); 2023: ₩27,410,913 (24.90%); 2024: ₩103,051,612 (275.95%); 2025: ₩104,265,090 (1.18%)"
5,46,"₩81,630,446",8063.04%,94,"2014: ₩828,223 (-17.18%); 2015: ₩774,611 (-6.47%); 2016: ₩1,635,980 (111.20%); 2017: ₩2,001,198 (22.32%); 2018: ₩4,345,158 (117.13%); 2019: ₩5,762,068 (32.61%); 2020: ₩9,968,293 (73.00%); 2021: ₩47,490,944 (376.42%); 2022: ₩16,147,372 (-66.00%); 2023: ₩22,236,487 (37.71%); 2024: ₩80,680,398 (262.83%); 2025: ₩81,630,446 (1.18%)"
5,47,"₩78,074,614",7707.46%,88,"2014: ₩828,223 (-17.18%); 2015: ₩774,338 (-6.51%); 2016: ₩1,635,405 (111.20%); 2017: ₩2,084,494 (27.46%); 2018: ₩4,460,351 (113.98%); 2019: ₩5,705,116 (27.91%); 2020: ₩9,675,801 (69.60%); 2021: ₩46,097,455 (376.42%); 2022: ₩15,612,177 (-66.13%); 2023: ₩21,220,258 (35.92%); 2024: ₩77,165,951 (263.64%); 2025: ₩78,074,614 (1.18%)"
5,48,"₩91,472,266",9047.23%,92,"2014: ₩828,223 (-17.18%); 2015: ₩781,482 (-5.64%); 2016: ₩1,817,683 (132.59%); 2017: ₩2,316,827 (27.46%); 2018: ₩5,376,235 (132.05%); 2019: ₩6,583,802 (22.46%); 2020: ₩11,034,434 (67.60%); 2021: ₩50,106,685 (354.09%); 2022: ₩17,678,632 (-64.72%); 2023: ₩24,564,240 (38.95%); 2024: ₩90,407,676 (268.05%); 2025: ₩91,472,266 (1.18%)"
5,49,"₩48,973,888",4797.39%,92,"2014: ₩828,223 (-17.18%); 2015: ₩789,113 (-4.72%); 2016: ₩1,835,434 (132.59%); 2017: ₩2,374,864 (29.39%); 2018: ₩5,333,186 (124.57%); 2019: ₩6,821,535 (27.91%); 2020: ₩6,564,901 (-3.76%); 2021: ₩29,810,813 (354.09%); 2022: ₩10,559,208 (-64.58%); 2023: ₩14,671,889 (38.95%); 2024: ₩48,403,911 (229.91%); 2025: ₩48,973,888 (1.18%)"
5,50,"₩49,224,432",4822.44%,96,"2014: ₩828,223 (-17.18%); 2015: ₩773,572 (-6.60%); 2016: ₩1,773,681 (129.28%); 2017: ₩2,320,198 (30.81%); 2018: ₩5,125,071 (120.89%); 2019: ₩6,830,964 (33.29%); 2020: ₩6,445,902 (-5.64%); 2021: ₩29,270,445 (354.09%); 2022: ₩10,632,045 (-63.68%); 2023: ₩14,746,948 (38.70%); 2024: ₩48,651,538 (229.91%); 2025: ₩49,224,432 (1.18%)"
5,51,"₩44,111,674",4311.17%,92,"2014: ₩828,223 (-17.18%); 2015: ₩770,745 (-6.94%); 2016: ₩1,759,527 (128.29%); 2017: ₩2,559,910 (45.49%); 2018: ₩6,087,489 (137.80%); 2019: ₩7,886,964 (29.56%); 2020: ₩7,515,995 (-4.70%); 2021: ₩27,335,865 (263.70%); 2022: ₩9,284,742 (-66.03%); 2023: ₩12,951,828 (39.50%); 2024: ₩43,598,285 (236.62%); 2025: ₩44,111,674 (1.18%)"
5,52,"₩64,998,725",6399.87%,92,"2014: ₩784,926 (-21.51%); 2015: ₩730,453 (-6.94%); 2016: ₩1,694,897 (132.03%); 2017: ₩2,439,061 (43.91%); 2018: ₩6,378,176 (161.50%); 2019: ₩8,223,093 (28.93%); 2020: ₩8,066,663 (-1.90%); 2021: ₩36,849,027 (356.81%); 2022: ₩13,345,318 (-63.78%); 2023: ₩18,616,163 (39.50%); 2024: ₩39,083,101 (109.94%); 2025: ₩64,998,725 (66.31%)"
5,53,"₩43,502,827",4250.28%,94,"2014: ₩784,926 (-21.51%); 2015: ₩707,710 (-9.84%); 2016: ₩1,622,692 (129.29%); 2017: ₩2,389,385 (47.25%); 2018: ₩6,508,359 (172.39%); 2019: ₩8,390,932 (28.93%); 2020: ₩7,894,686 (-5.91%); 2021: ₩35,514,643 (349.86%); 2022: ₩8,931,853 (-74.85%); 2023: ₩12,459,563 (39.50%); 2024: ₩26,157,827 (109.94%); 2025: ₩43,502,827 (66.31%)"
5,54,"₩46,971,870",4597.19%,88,"2014: ₩784,926 (-21.51%); 2015: ₩705,251 (-10.15%); 2016: ₩1,617,053 (129.29%); 2017: ₩2,401,170 (48.49%); 2018: ₩6,825,695 (184.27%); 2019: ₩8,842,419 (29.55%); 2020: ₩8,319,471 (-5.91%); 2021: ₩37,425,561 (349.86%); 2022: ₩9,382,915 (-74.93%); 2023: ₩13,460,516 (43.46%); 2024: ₩28,243,729 (109.83%); 2025: ₩46,971,870 (66.31%)"
5,55,"₩95,859,467",9485.95%,92,"2014: ₩784,926 (-21.51%); 2015: ₩681,880 (-13.13%); 2016: ₩1,558,267 (128.53%); 2017: ₩3,910,714 (150.97%); 2018: ₩10,330,848 (164.17%); 2019: ₩13,813,676 (33.71%); 2020: ₩17,330,201 (25.46%); 2021: ₩77,960,784 (349.86%); 2022: ₩20,427,521 (-73.80%); 2023: ₩28,250,764 (38.30%); 2024: ₩57,639,365 (104.03%); 2025: ₩95,859,467 (66.31%)"
5,56,"₩85,034,768",8403.48%,92,"2014: ₩730,469 (-26.95%); 2015: ₩629,862 (-13.77%); 2016: ₩1,441,281 (128.83%); 2017: ₩3,607,670 (150.31%); 2018: ₩9,637,250 (167.13%); 2019: ₩12,886,245 (33.71%); 2020: ₩16,166,676 (25.46%); 2021: ₩71,226,250 (340.57%); 2022: ₩18,185,015 (-74.47%); 2023: ₩24,994,261 (37.44%); 2024: ₩51,855,041 (107.47%); 2025: ₩85,034,768 (63.99%)"
5,57,"₩107,872,498",10687.25%,92,"2014: ₩730,469 (-26.95%); 2015: ₩625,101 (-14.42%); 2016: ₩1,459,167 (133.43%); 2017: ₩3,645,266 (149.82%); 2018: ₩9,509,955 (160.89%); 2019: ₩12,716,037 (33.71%); 2020: ₩15,953,137 (25.46%); 2021: ₩72,040,293 (351.57%); 2022: ₩24,203,729 (-66.40%); 2023: ₩30,742,857 (27.02%); 2024: ₩65,781,714 (113.97%); 2025: ₩107,872,498 (63.99%)"
5,58,"₩115,933,036",11493.30%,94,"2014: ₩742,003 (-25.80%); 2015: ₩649,429 (-12.48%); 2016: ₩1,520,670 (134.15%); 2017: ₩3,515,396 (131.17%); 2018: ₩8,843,098 (151.55%); 2019: ₩11,824,362 (33.71%); 2020: ₩16,633,456 (40.67%); 2021: ₩75,112,441 (351.57%); 2022: ₩26,012,300 (-65.37%); 2023: ₩33,040,050 (27.02%); 2024: ₩70,697,110 (113.97%); 2025: ₩115,933,036 (63.99%)"
5,59,"₩238,771,504",23777.15%,96,"2014: ₩742,003 (-25.80%); 2015: ₩651,941 (-12.14%); 2016: ₩1,493,563 (129.09%); 2017: ₩4,772,771 (219.56%); 2018: ₩12,299,238 (157.70%); 2019: ₩17,287,850 (40.56%); 2020: ₩24,095,355 (39.38%); 2021: ₩150,698,885 (525.43%); 2022: ₩53,993,810 (-64.17%); 2023: ₩68,048,097 (26.03%); 2024: ₩145,605,220 (113.97%); 2025: ₩238,771,504 (63.99%)"
5,60,"₩200,060,760",19906.08%,96,"2014: ₩742,003 (-25.80%); 2015: ₩668,869 (-9.86%); 2016: ₩1,546,470 (131.21%); 2017: ₩4,941,839 (219.56%); 2018: ₩12,734,920 (157.70%); 2019: ₩17,900,245 (40.56%); 2020: ₩24,948,895 (39.38%); 2021: ₩167,739,746 (572.33%); 2022: ₩47,903,755 (-71.44%); 2023: ₩59,544,025 (24.30%); 2024: ₩121,999,027 (104.89%); 2025: ₩200,060,760 (63.99%)"
5,61,"₩112,530,622",11153.06%,90,"2014: ₩742,003 (-25.80%); 2015: ₩630,559 (-15.02%); 2016: ₩1,465,790 (132.46%); 2017: ₩4,341,056 (196.16%); 2018: ₩11,186,728 (157.70%); 2019: ₩15,724,102 (40.56%); 2020: ₩23,183,573 (47.44%); 2021: ₩153,320,363 (561.33%); 2022: ₩43,785,812 (-71.44%); 2023: ₩55,727,708 (27.27%); 2024: ₩112,530,622 (101.93%)"
5,62,"₩85,007,627",8400.76%,90,"2014: ₩742,003 (-25.80%); 2015: ₩631,691 (-14.87%); 2016: ₩1,445,160 (128.78%); 2017: ₩3,172,213 (119.51%); 2018: ₩8,312,210 (162.03%); 2019: ₩11,543,718 (38.88%); 2020: ₩17,020,027 (47.44%); 2021: ₩106,578,316 (526.19%); 2022: ₩32,715,278 (-69.30%); 2023: ₩41,637,859 (27.27%); 2024: ₩85,007,627 (104.16%)"
5,63,"₩41,820,926",4082.09%,94,"2014: ₩742,003 (-25.80%); 2015: ₩638,008 (-14.02%); 2016: ₩810,612 (27.05%); 2017: ₩1,806,422 (122.85%); 2018: ₩4,733,401 (162.03%); 2019: ₩5,613,389 (18.59%); 2020: ₩8,155,543 (45.29%); 2021: ₩51,069,488 (526.19%); 2022: ₩15,710,869 (-69.24%); 2023: ₩19,995,763 (27.27%); 2024: ₩41,820,926 (109.15%)"
5,64,"₩44,380,217",4338.02%,88,"2014: ₩742,003 (-25.80%); 2015: ₩652,723 (-12.03%); 2016: ₩844,199 (29.33%); 2017: ₩2,061,912 (144.24%); 2018: ₩5,090,644 (146.89%); 2019: ₩5,944,213 (16.77%); 2020: ₩8,636,188 (45.29%); 2021: ₩57,198,148 (562.31%); 2022: ₩25,856,346 (-54.80%); 2023: ₩32,313,493 (24.97%); 2024: ₩44,380,217 (37.34%)"
5,65,"₩62,664,278",6166.43%,88,"2014: ₩742,003 (-25.80%); 2015: ₩652,723 (-12.03%); 2016: ₩841,854 (28.98%); 2017: ₩2,665,592 (216.63%); 2018: ₩6,801,516 (155.16%); 2019: ₩7,655,015 (12.55%); 2020: ₩11,121,766 (45.29%); 2021: ₩80,228,566 (621.37%); 2022: ₩36,101,799 (-55.00%); 2023: ₩45,117,559 (24.97%); 2024: ₩62,664,278 (38.89%)"
5,66,"₩68,459,046",6745.90%,86,"2014: ₩742,003 (-25.80%); 2015: ₩647,686 (-12.71%); 2016: ₩850,478 (31.31%); 2017: ₩2,694,386 (216.81%); 2018: ₩6,648,806 (146.77%); 2019: ₩7,528,651 (13.23%); 2020: ₩10,848,426 (44.10%); 2021: ₩77,642,122 (615.70%); 2022: ₩38,542,136 (-50.36%); 2023: ₩49,289,725 (27.89%); 2024: ₩68,459,046 (38.89%)"
5,67,"₩19,831,523",1883.15%,86,"2014: ₩742,003 (-25.80%); 2015: ₩617,605 (-16.77%); 2016: ₩754,899 (22.23%); 2017: ₩2,410,734 (219.35%); 2018: ₩1,739,057 (-27.86%); 2019: ₩2,042,425 (17.44%); 2020: ₩2,765,057 (35.38%); 2021: ₩18,278,404 (561.05%); 2022: ₩11,780,487 (-35.55%); 2023: ₩14,278,468 (21.20%); 2024: ₩19,831,523 (38.89%)"
5,68,"₩19,100,500",1810.05%,84,"2014: ₩742,003 (-25.80%); 2015: ₩613,643 (-17.30%); 2016: ₩1,204,155 (96.23%); 2017: ₩3,800,568 (215.62%); 2018: ₩1,697,146 (-55.34%); 2019: ₩3,841,494 (126.35%); 2020: ₩4,699,878 (22.35%); 2021: ₩26,713,388 (468.38%); 2022: ₩11,346,238 (-57.53%); 2023: ₩13,752,140 (21.20%); 2024: ₩19,100,500 (38.89%)"
5,69,"₩20,224,885",1922.49%,80,"2014: ₩742,003 (-25.80%); 2015: ₩643,365 (-13.29%); 2016: ₩1,247,714 (93.94%); 2017: ₩3,938,048 (215.62%); 2018: ₩1,788,512 (-54.58%); 2019: ₩4,048,301 (126.35%); 2020: ₩4,952,896 (22.35%); 2021: ₩27,717,734 (459.63%); 2022: ₩11,772,824 (-57.53%); 2023: ₩14,269,181 (21.20%); 2024: ₩20,224,885 (41.74%)"
5,70,"₩30,812,192",2981.22%,80,"2014: ₩765,071 (-23.49%); 2015: ₩656,585 (-14.18%); 2016: ₩1,273,351 (93.94%); 2017: ₩4,345,379 (241.26%); 2018: ₩1,973,506 (-54.58%); 2019: ₩5,239,190 (165.48%); 2020: ₩4,618,529 (-11.85%); 2021: ₩27,246,700 (489.94%); 2022: ₩12,402,926 (-54.48%); 2023: ₩12,670,885 (2.16%); 2024: ₩17,781,672 (40.33%); 2025: ₩30,812,192 (73.28%)"
5,71,"₩76,255,611",7525.56%,84,"2014: ₩765,071 (-23.49%); 2015: ₩633,813 (-17.16%); 2016: ₩1,229,189 (93.94%); 2017: ₩3,652,158 (197.12%); 2018: ₩6,144,173 (68.23%); 2019: ₩16,311,319 (165.48%); 2020: ₩14,653,032 (-10.17%); 2021: ₩74,557,677 (408.82%); 2022: ₩32,474,283 (-56.44%); 2023: ₩31,664,941 (-2.49%); 2024: ₩44,032,144 (39.06%); 2025: ₩76,255,611 (73.18%)"
5,72,"₩10,068,723",906.87%,84,"2014: ₩765,071 (-23.49%); 2015: ₩656,585 (-14.18%); 2016: ₩1,287,330 (96.06%); 2017: ₩3,980,902 (209.24%); 2018: ₩6,910,050 (73.58%); 2019: ₩16,902,963 (144.61%); 2020: ₩14,988,543 (-11.33%); 2021: ₩17,585,137 (17.32%); 2022: ₩7,659,368 (-56.44%); 2023: ₩7,468,477 (-2.49%); 2024: ₩10,068,723 (34.82%)"
5,73,"₩8,352,681",735.27%,84,"2014: ₩709,019 (-29.10%); 2015: ₩579,501 (-18.27%); 2016: ₩1,136,196 (96.06%); 2017: ₩3,308,780 (191.22%); 2018: ₩5,767,114 (74.30%); 2019: ₩15,310,319 (165.48%); 2020: ₩13,869,908 (-9.41%); 2021: ₩14,455,007 (4.22%); 2022: ₩6,296,011 (-56.44%); 2023: ₩6,139,099 (-2.49%); 2024: ₩8,352,681 (36.06%)"
5,74,"₩7,446,080",644.61%,86,"2014: ₩709,019 (-29.10%); 2015: ₩601,461 (-15.17%); 2016: ₩1,226,009 (103.84%); 2017: ₩3,552,748 (189.78%); 2018: ₩5,956,610 (67.66%); 2019: ₩15,813,386 (165.48%); 2020: ₩13,189,010 (-16.60%); 2021: ₩13,745,385 (4.22%); 2022: ₩5,986,929 (-56.44%); 2023: ₩5,534,461 (-7.56%); 2024: ₩7,446,080 (34.54%)"
5,75,"₩7,833,952",683.40%,86,"2014: ₩709,019 (-29.10%); 2015: ₩607,061 (-14.38%); 2016: ₩1,237,425 (103.84%); 2017: ₩3,667,366 (196.37%); 2018: ₩6,148,781 (67.66%); 2019: ₩16,323,553 (165.48%); 2020: ₩13,614,510 (-16.60%); 2021: ₩14,188,835 (4.22%); 2022: ₩6,264,557 (-55.85%); 2023: ₩5,791,107 (-7.56%); 2024: ₩7,833,952 (35.28%)"
