n,m,final_balance,total_return,trade_count,yearly_details
5,30,"₩540,603",-45.94%,948,"2014: ₩484,149 (-51.59%); 2015: ₩459,736 (-5.04%); 2016: ₩347,661 (-24.38%); 2017: ₩2,821,639 (711.61%); 2018: ₩2,042,624 (-27.61%); 2019: ₩2,245,599 (9.94%); 2020: ₩2,136,133 (-4.87%); 2021: ₩2,285,422 (6.99%); 2022: ₩665,759 (-70.87%); 2023: ₩625,754 (-6.01%); 2024: ₩628,977 (0.51%); 2025: ₩540,603 (-14.05%)"
5,31,"₩384,072",-61.59%,920,"2014: ₩477,228 (-52.28%); 2015: ₩393,500 (-17.54%); 2016: ₩274,565 (-30.22%); 2017: ₩2,164,823 (688.46%); 2018: ₩1,699,674 (-21.49%); 2019: ₩1,992,223 (17.21%); 2020: ₩2,143,917 (7.61%); 2021: ₩1,473,947 (-31.25%); 2022: ₩440,142 (-70.14%); 2023: ₩410,018 (-6.84%); 2024: ₩428,161 (4.43%); 2025: ₩384,072 (-10.30%)"
5,32,"₩574,452",-42.55%,910,"2014: ₩333,977 (-66.60%); 2015: ₩298,868 (-10.51%); 2016: ₩247,550 (-17.17%); 2017: ₩1,564,565 (532.02%); 2018: ₩1,088,722 (-30.41%); 2019: ₩1,359,130 (24.84%); 2020: ₩1,402,930 (3.22%); 2021: ₩1,967,665 (40.25%); 2022: ₩644,598 (-67.24%); 2023: ₩591,559 (-8.23%); 2024: ₩631,507 (6.75%); 2025: ₩574,452 (-9.03%)"
5,33,"₩492,337",-50.77%,864,"2014: ₩305,891 (-69.41%); 2015: ₩337,002 (10.17%); 2016: ₩304,646 (-9.60%); 2017: ₩2,213,286 (626.51%); 2018: ₩1,015,376 (-54.12%); 2019: ₩1,345,224 (32.49%); 2020: ₩1,568,416 (16.59%); 2021: ₩2,225,062 (41.87%); 2022: ₩675,564 (-69.64%); 2023: ₩532,985 (-21.11%); 2024: ₩519,569 (-2.52%); 2025: ₩492,337 (-5.24%)"
5,34,"₩478,260",-52.17%,876,"2014: ₩338,365 (-66.16%); 2015: ₩302,063 (-10.73%); 2016: ₩298,476 (-1.19%); 2017: ₩2,682,864 (798.86%); 2018: ₩1,189,885 (-55.65%); 2019: ₩1,579,248 (32.72%); 2020: ₩1,909,612 (20.92%); 2021: ₩2,446,045 (28.09%); 2022: ₩695,596 (-71.56%); 2023: ₩514,616 (-26.02%); 2024: ₩492,970 (-4.21%); 2025: ₩478,260 (-2.98%)"
5,35,"₩752,757",-24.72%,850,"2014: ₩518,984 (-48.10%); 2015: ₩481,940 (-7.14%); 2016: ₩506,066 (5.01%); 2017: ₩7,112,496 (1305.45%); 2018: ₩3,143,448 (-55.80%); 2019: ₩3,278,561 (4.30%); 2020: ₩4,242,352 (29.40%); 2021: ₩3,837,565 (-9.54%); 2022: ₩983,272 (-74.38%); 2023: ₩763,585 (-22.34%); 2024: ₩779,905 (2.14%); 2025: ₩752,757 (-3.48%)"
5,36,"₩780,135",-21.99%,852,"2014: ₩470,629 (-52.94%); 2015: ₩491,555 (4.45%); 2016: ₩515,161 (4.80%); 2017: ₩6,334,255 (1129.57%); 2018: ₩2,839,878 (-55.17%); 2019: ₩3,296,769 (16.09%); 2020: ₩4,011,790 (21.69%); 2021: ₩4,147,593 (3.39%); 2022: ₩1,055,658 (-74.55%); 2023: ₩753,620 (-28.61%); 2024: ₩810,404 (7.53%); 2025: ₩780,135 (-3.74%)"
5,37,"₩874,436",-12.56%,860,"2014: ₩753,456 (-24.65%); 2015: ₩874,328 (16.04%); 2016: ₩941,243 (7.65%); 2017: ₩6,623,305 (603.68%); 2018: ₩3,232,507 (-51.19%); 2019: ₩3,544,517 (9.65%); 2020: ₩4,073,357 (14.92%); 2021: ₩4,157,427 (2.06%); 2022: ₩1,101,876 (-73.50%); 2023: ₩846,452 (-23.18%); 2024: ₩908,364 (7.31%); 2025: ₩874,436 (-3.74%)"
5,38,"₩431,087",-56.89%,816,"2014: ₩485,456 (-51.45%); 2015: ₩472,894 (-2.59%); 2016: ₩545,673 (15.39%); 2017: ₩5,094,554 (833.63%); 2018: ₩2,108,984 (-58.60%); 2019: ₩1,356,403 (-35.68%); 2020: ₩1,881,182 (38.69%); 2021: ₩1,448,074 (-23.02%); 2022: ₩387,710 (-73.23%); 2023: ₩429,489 (10.78%); 2024: ₩454,410 (5.80%); 2025: ₩431,087 (-5.13%)"
5,39,"₩207,789",-79.22%,802,"2014: ₩534,575 (-46.54%); 2015: ₩499,323 (-6.59%); 2016: ₩587,895 (17.74%); 2017: ₩2,884,927 (390.72%); 2018: ₩785,856 (-72.76%); 2019: ₩653,372 (-16.86%); 2020: ₩991,505 (51.75%); 2021: ₩913,207 (-7.90%); 2022: ₩231,034 (-74.70%); 2023: ₩257,089 (11.28%); 2024: ₩218,771 (-14.90%); 2025: ₩207,789 (-5.02%)"
5,40,"₩260,624",-73.94%,794,"2014: ₩562,227 (-43.78%); 2015: ₩576,866 (2.60%); 2016: ₩673,713 (16.79%); 2017: ₩4,564,257 (577.48%); 2018: ₩1,941,313 (-57.47%); 2019: ₩1,235,985 (-36.33%); 2020: ₩1,667,844 (34.94%); 2021: ₩1,482,529 (-11.11%); 2022: ₩324,254 (-78.13%); 2023: ₩332,847 (2.65%); 2024: ₩275,851 (-17.12%); 2025: ₩260,624 (-5.52%)"
5,41,"₩386,192",-61.38%,782,"2014: ₩705,842 (-29.42%); 2015: ₩863,231 (22.30%); 2016: ₩1,050,284 (21.67%); 2017: ₩9,146,180 (770.83%); 2018: ₩3,707,874 (-59.46%); 2019: ₩2,259,270 (-39.07%); 2020: ₩2,963,252 (31.16%); 2021: ₩2,779,942 (-6.19%); 2022: ₩438,999 (-84.21%); 2023: ₩463,295 (5.53%); 2024: ₩408,755 (-11.77%); 2025: ₩386,192 (-5.52%)"
5,42,"₩543,319",-45.67%,762,"2014: ₩732,301 (-26.77%); 2015: ₩963,173 (31.53%); 2016: ₩1,072,648 (11.37%); 2017: ₩8,783,575 (718.87%); 2018: ₩2,662,235 (-69.69%); 2019: ₩2,447,359 (-8.07%); 2020: ₩3,326,662 (35.93%); 2021: ₩3,115,465 (-6.35%); 2022: ₩551,999 (-82.28%); 2023: ₩582,873 (5.59%); 2024: ₩574,872 (-1.37%); 2025: ₩543,319 (-5.49%)"
5,43,"₩845,191",-15.48%,742,"2014: ₩761,440 (-23.86%); 2015: ₩921,150 (20.97%); 2016: ₩1,104,764 (19.93%); 2017: ₩8,298,171 (651.13%); 2018: ₩4,274,288 (-48.49%); 2019: ₩4,052,431 (-5.19%); 2020: ₩5,661,807 (39.71%); 2021: ₩5,193,437 (-8.27%); 2022: ₩904,992 (-82.57%); 2023: ₩997,804 (10.26%); 2024: ₩904,079 (-9.39%); 2025: ₩845,191 (-6.51%)"
5,44,"₩849,687",-15.03%,732,"2014: ₩561,415 (-43.86%); 2015: ₩652,727 (16.26%); 2016: ₩802,662 (22.97%); 2017: ₩5,934,437 (639.34%); 2018: ₩3,349,335 (-43.56%); 2019: ₩3,290,339 (-1.76%); 2020: ₩4,726,593 (43.65%); 2021: ₩4,893,765 (3.54%); 2022: ₩945,572 (-80.68%); 2023: ₩1,053,872 (11.45%); 2024: ₩908,888 (-13.76%); 2025: ₩849,687 (-6.51%)"
5,45,"₩1,392,741",39.27%,728,"2014: ₩753,487 (-24.65%); 2015: ₩771,490 (2.39%); 2016: ₩903,251 (17.08%); 2017: ₩6,643,241 (635.48%); 2018: ₩4,392,055 (-33.89%); 2019: ₩4,222,031 (-3.87%); 2020: ₩8,000,713 (89.50%); 2021: ₩7,202,107 (-9.98%); 2022: ₩1,346,607 (-81.30%); 2023: ₩1,519,532 (12.84%); 2024: ₩1,490,071 (-1.94%); 2025: ₩1,392,741 (-6.53%)"
5,46,"₩1,356,890",35.69%,716,"2014: ₩634,459 (-36.55%); 2015: ₩547,657 (-13.68%); 2016: ₩660,748 (20.65%); 2017: ₩4,832,950 (631.44%); 2018: ₩3,030,938 (-37.29%); 2019: ₩4,011,895 (32.36%); 2020: ₩6,788,980 (69.22%); 2021: ₩6,334,712 (-6.69%); 2022: ₩1,314,778 (-79.24%); 2023: ₩1,471,970 (11.96%); 2024: ₩1,447,747 (-1.65%); 2025: ₩1,356,890 (-6.28%)"
5,47,"₩919,594",-8.04%,688,"2014: ₩371,286 (-62.87%); 2015: ₩347,413 (-6.43%); 2016: ₩406,049 (16.88%); 2017: ₩2,869,418 (606.67%); 2018: ₩1,682,369 (-41.37%); 2019: ₩2,605,889 (54.89%); 2020: ₩4,996,004 (91.72%); 2021: ₩4,539,165 (-9.14%); 2022: ₩1,175,577 (-74.10%); 2023: ₩1,022,603 (-13.01%); 2024: ₩984,998 (-3.68%); 2025: ₩919,594 (-6.64%)"
5,48,"₩1,145,942",14.59%,692,"2014: ₩409,105 (-59.09%); 2015: ₩424,799 (3.84%); 2016: ₩519,847 (22.37%); 2017: ₩4,038,354 (676.84%); 2018: ₩1,773,508 (-56.08%); 2019: ₩2,389,209 (34.72%); 2020: ₩4,439,492 (85.81%); 2021: ₩4,179,365 (-5.86%); 2022: ₩1,411,442 (-66.23%); 2023: ₩1,216,179 (-13.83%); 2024: ₩1,183,813 (-2.66%); 2025: ₩1,145,942 (-3.20%)"
5,49,"₩962,679",-3.73%,678,"2014: ₩277,984 (-72.20%); 2015: ₩298,177 (7.26%); 2016: ₩361,001 (21.07%); 2017: ₩2,453,804 (579.72%); 2018: ₩1,412,521 (-42.44%); 2019: ₩2,380,354 (68.52%); 2020: ₩4,297,942 (80.56%); 2021: ₩3,405,790 (-20.76%); 2022: ₩1,219,385 (-64.20%); 2023: ₩1,084,515 (-11.06%); 2024: ₩994,493 (-8.30%); 2025: ₩962,679 (-3.20%)"
5,50,"₩1,013,639",1.36%,660,"2014: ₩272,930 (-72.71%); 2015: ₩209,757 (-23.15%); 2016: ₩237,575 (13.26%); 2017: ₩1,915,533 (706.29%); 2018: ₩1,037,604 (-45.83%); 2019: ₩1,698,556 (63.70%); 2020: ₩3,250,668 (91.38%); 2021: ₩3,153,969 (-2.97%); 2022: ₩914,239 (-71.01%); 2023: ₩1,120,657 (22.58%); 2024: ₩1,047,138 (-6.56%); 2025: ₩1,013,639 (-3.20%)"
5,51,"₩259,935",-74.01%,658,"2014: ₩278,803 (-72.12%); 2015: ₩143,904 (-48.38%); 2016: ₩155,747 (8.23%); 2017: ₩1,289,099 (727.69%); 2018: ₩648,242 (-49.71%); 2019: ₩742,484 (14.54%); 2020: ₩1,458,129 (96.39%); 2021: ₩1,265,408 (-13.22%); 2022: ₩353,166 (-72.09%); 2023: ₩325,378 (-7.87%); 2024: ₩268,932 (-17.35%); 2025: ₩259,935 (-3.35%)"
5,52,"₩676,732",-32.33%,652,"2014: ₩299,971 (-70.00%); 2015: ₩259,901 (-13.36%); 2016: ₩315,511 (21.40%); 2017: ₩2,085,664 (561.04%); 2018: ₩1,155,820 (-44.58%); 2019: ₩1,127,376 (-2.46%); 2020: ₩2,074,806 (84.04%); 2021: ₩1,909,674 (-7.96%); 2022: ₩562,827 (-70.53%); 2023: ₩685,125 (21.73%); 2024: ₩700,156 (2.19%); 2025: ₩676,732 (-3.35%)"
5,53,"₩949,863",-5.01%,642,"2014: ₩269,435 (-73.06%); 2015: ₩211,487 (-21.51%); 2016: ₩246,924 (16.76%); 2017: ₩1,691,130 (584.88%); 2018: ₩923,318 (-45.40%); 2019: ₩1,051,543 (13.89%); 2020: ₩1,954,558 (85.88%); 2021: ₩1,650,616 (-15.55%); 2022: ₩736,614 (-55.37%); 2023: ₩940,795 (27.72%); 2024: ₩1,024,808 (8.93%); 2025: ₩949,863 (-7.31%)"
5,54,"₩1,093,201",9.32%,632,"2014: ₩449,499 (-55.05%); 2015: ₩510,609 (13.60%); 2016: ₩649,560 (27.21%); 2017: ₩4,062,490 (525.42%); 2018: ₩1,780,811 (-56.16%); 2019: ₩1,566,704 (-12.02%); 2020: ₩2,867,546 (83.03%); 2021: ₩2,109,809 (-26.42%); 2022: ₩968,839 (-54.08%); 2023: ₩1,182,164 (22.02%); 2024: ₩1,143,826 (-3.24%); 2025: ₩1,093,201 (-4.43%)"
5,55,"₩926,088",-7.39%,632,"2014: ₩503,651 (-49.63%); 2015: ₩522,757 (3.79%); 2016: ₩659,334 (26.13%); 2017: ₩4,280,227 (549.17%); 2018: ₩1,990,218 (-53.50%); 2019: ₩2,003,109 (0.65%); 2020: ₩3,386,424 (69.06%); 2021: ₩2,509,306 (-25.90%); 2022: ₩827,559 (-67.02%); 2023: ₩1,028,991 (24.34%); 2024: ₩968,975 (-5.83%); 2025: ₩926,088 (-4.43%)"
5,56,"₩1,150,477",15.05%,628,"2014: ₩526,868 (-47.31%); 2015: ₩698,493 (32.57%); 2016: ₩882,833 (26.39%); 2017: ₩5,947,773 (573.71%); 2018: ₩2,523,497 (-57.57%); 2019: ₩2,439,118 (-3.34%); 2020: ₩4,167,605 (70.87%); 2021: ₩2,821,477 (-32.30%); 2022: ₩1,059,120 (-62.46%); 2023: ₩1,283,333 (21.17%); 2024: ₩1,211,212 (-5.62%); 2025: ₩1,150,477 (-5.01%)"
5,57,"₩2,781,598",178.16%,628,"2014: ₩497,199 (-50.28%); 2015: ₩658,085 (32.36%); 2016: ₩760,566 (15.57%); 2017: ₩5,353,667 (603.91%); 2018: ₩2,648,449 (-50.53%); 2019: ₩2,734,347 (3.24%); 2020: ₩4,607,183 (68.49%); 2021: ₩4,014,376 (-12.87%); 2022: ₩2,074,534 (-48.32%); 2023: ₩2,451,099 (18.15%); 2024: ₩2,853,931 (16.43%); 2025: ₩2,781,598 (-2.53%)"
5,58,"₩8,320,664",732.07%,616,"2014: ₩524,300 (-47.57%); 2015: ₩1,018,177 (94.20%); 2016: ₩1,168,787 (14.79%); 2017: ₩7,760,848 (564.01%); 2018: ₩6,566,217 (-15.39%); 2019: ₩8,021,702 (22.17%); 2020: ₩13,708,302 (70.89%); 2021: ₩12,032,106 (-12.23%); 2022: ₩5,839,968 (-51.46%); 2023: ₩7,168,077 (22.74%); 2024: ₩8,731,841 (21.82%); 2025: ₩8,320,664 (-4.71%)"
5,59,"₩13,144,640",1214.46%,606,"2014: ₩515,596 (-48.44%); 2015: ₩1,000,579 (94.06%); 2016: ₩1,120,944 (12.03%); 2017: ₩7,493,971 (568.54%); 2018: ₩6,372,563 (-14.96%); 2019: ₩8,065,455 (26.57%); 2020: ₩14,316,826 (77.51%); 2021: ₩24,232,572 (69.26%); 2022: ₩10,653,575 (-56.04%); 2023: ₩11,243,038 (5.53%); 2024: ₩13,794,200 (22.69%); 2025: ₩13,144,640 (-4.71%)"
5,60,"₩15,219,563",1421.96%,596,"2014: ₩526,589 (-47.34%); 2015: ₩1,121,575 (112.99%); 2016: ₩1,293,927 (15.37%); 2017: ₩11,878,562 (818.02%); 2018: ₩9,358,986 (-21.21%); 2019: ₩10,991,039 (17.44%); 2020: ₩19,342,882 (75.99%); 2021: ₩34,042,565 (76.00%); 2022: ₩14,077,326 (-58.65%); 2023: ₩15,459,416 (9.82%); 2024: ₩15,912,635 (2.93%); 2025: ₩15,219,563 (-4.36%)"
5,61,"₩7,763,254",676.33%,592,"2014: ₩564,777 (-43.52%); 2015: ₩868,499 (53.78%); 2016: ₩985,309 (13.45%); 2017: ₩8,228,710 (735.14%); 2018: ₩6,476,680 (-21.29%); 2019: ₩6,304,759 (-2.65%); 2020: ₩11,037,785 (75.07%); 2021: ₩18,479,652 (67.42%); 2022: ₩8,355,093 (-54.79%); 2023: ₩8,413,670 (0.70%); 2024: ₩8,116,779 (-3.53%); 2025: ₩7,763,254 (-4.36%)"
5,62,"₩6,655,996",565.60%,590,"2014: ₩581,258 (-41.87%); 2015: ₩901,263 (55.05%); 2016: ₩930,132 (3.20%); 2017: ₩8,438,365 (807.22%); 2018: ₩6,054,320 (-28.25%); 2019: ₩5,893,969 (-2.65%); 2020: ₩10,426,947 (76.91%); 2021: ₩14,876,785 (42.68%); 2022: ₩6,418,600 (-56.85%); 2023: ₩6,705,066 (4.46%); 2024: ₩6,930,012 (3.35%); 2025: ₩6,655,996 (-3.95%)"
5,63,"₩2,407,326",140.73%,596,"2014: ₩540,859 (-45.91%); 2015: ₩854,713 (58.03%); 2016: ₩893,565 (4.55%); 2017: ₩6,849,816 (666.57%); 2018: ₩3,683,115 (-46.23%); 2019: ₩4,260,947 (15.69%); 2020: ₩7,232,994 (69.75%); 2021: ₩6,027,036 (-16.67%); 2022: ₩1,842,415 (-69.43%); 2023: ₩2,044,310 (10.96%); 2024: ₩2,506,431 (22.61%); 2025: ₩2,407,326 (-3.95%)"
5,64,"₩3,081,104",208.11%,584,"2014: ₩544,639 (-45.54%); 2015: ₩861,803 (58.23%); 2016: ₩917,903 (6.51%); 2017: ₩6,535,564 (612.01%); 2018: ₩3,671,792 (-43.82%); 2019: ₩4,192,618 (14.18%); 2020: ₩7,007,811 (67.15%); 2021: ₩6,807,774 (-2.85%); 2022: ₩2,178,873 (-67.99%); 2023: ₩2,560,455 (17.51%); 2024: ₩3,207,948 (25.29%); 2025: ₩3,081,104 (-3.95%)"
5,65,"₩6,731,806",573.18%,558,"2014: ₩515,205 (-48.48%); 2015: ₩861,963 (67.30%); 2016: ₩943,121 (9.42%); 2017: ₩7,194,203 (662.81%); 2018: ₩4,963,941 (-31.00%); 2019: ₩6,278,701 (26.49%); 2020: ₩9,941,139 (58.33%); 2021: ₩9,983,926 (0.43%); 2022: ₩4,346,983 (-56.46%); 2023: ₩5,427,330 (24.85%); 2024: ₩6,968,716 (28.40%); 2025: ₩6,731,806 (-3.40%)"
5,66,"₩4,041,277",304.13%,568,"2014: ₩467,927 (-53.21%); 2015: ₩612,809 (30.96%); 2016: ₩564,742 (-7.84%); 2017: ₩4,103,575 (626.63%); 2018: ₩2,550,305 (-37.85%); 2019: ₩3,169,985 (24.30%); 2020: ₩5,131,172 (61.87%); 2021: ₩4,639,364 (-9.58%); 2022: ₩2,183,680 (-52.93%); 2023: ₩2,936,899 (34.49%); 2024: ₩4,181,601 (42.38%); 2025: ₩4,041,277 (-3.36%)"
5,67,"₩8,870,842",787.08%,546,"2014: ₩513,131 (-48.69%); 2015: ₩697,895 (36.01%); 2016: ₩687,970 (-1.42%); 2017: ₩9,061,630 (1217.15%); 2018: ₩5,097,895 (-43.74%); 2019: ₩6,304,470 (23.67%); 2020: ₩10,664,413 (69.16%); 2021: ₩9,964,827 (-6.56%); 2022: ₩4,480,397 (-55.04%); 2023: ₩6,404,496 (42.94%); 2024: ₩9,019,008 (40.82%); 2025: ₩8,870,842 (-1.64%)"
5,68,"₩9,245,583",824.56%,550,"2014: ₩621,025 (-37.90%); 2015: ₩819,176 (31.91%); 2016: ₩821,296 (0.26%); 2017: ₩8,764,113 (967.11%); 2018: ₩5,182,292 (-40.87%); 2019: ₩7,349,506 (41.82%); 2020: ₩11,950,591 (62.60%); 2021: ₩12,695,635 (6.23%); 2022: ₩5,720,319 (-54.94%); 2023: ₩7,083,337 (23.83%); 2024: ₩9,400,009 (32.71%); 2025: ₩9,245,583 (-1.64%)"
5,69,"₩7,619,019",661.90%,544,"2014: ₩614,833 (-38.52%); 2015: ₩789,188 (28.36%); 2016: ₩829,708 (5.13%); 2017: ₩8,118,907 (878.53%); 2018: ₩5,259,233 (-35.22%); 2019: ₩5,159,800 (-1.89%); 2020: ₩8,801,069 (70.57%); 2021: ₩9,463,164 (7.52%); 2022: ₩4,330,822 (-54.23%); 2023: ₩5,564,595 (28.49%); 2024: ₩7,746,277 (39.21%); 2025: ₩7,619,019 (-1.64%)"
5,70,"₩12,060,047",1106.00%,534,"2014: ₩614,444 (-38.56%); 2015: ₩519,137 (-15.51%); 2016: ₩547,161 (5.40%); 2017: ₩6,771,329 (1137.54%); 2018: ₩3,623,843 (-46.48%); 2019: ₩5,469,706 (50.94%); 2020: ₩9,105,326 (66.47%); 2021: ₩14,087,708 (54.72%); 2022: ₩7,261,775 (-48.45%); 2023: ₩9,723,879 (33.90%); 2024: ₩12,261,481 (26.10%); 2025: ₩12,060,047 (-1.64%)"
5,71,"₩13,748,256",1274.83%,514,"2014: ₩618,206 (-38.18%); 2015: ₩572,910 (-7.33%); 2016: ₩593,706 (3.63%); 2017: ₩7,269,179 (1124.37%); 2018: ₩4,040,741 (-44.41%); 2019: ₩5,242,647 (29.74%); 2020: ₩9,112,105 (73.81%); 2021: ₩13,230,319 (45.19%); 2022: ₩7,137,599 (-46.05%); 2023: ₩10,106,848 (41.60%); 2024: ₩13,938,366 (37.91%); 2025: ₩13,748,256 (-1.36%)"
5,72,"₩12,982,265",1198.23%,512,"2014: ₩650,591 (-34.94%); 2015: ₩664,122 (2.08%); 2016: ₩684,349 (3.05%); 2017: ₩8,381,563 (1124.75%); 2018: ₩4,498,196 (-46.33%); 2019: ₩5,864,161 (30.37%); 2020: ₩9,384,832 (60.04%); 2021: ₩11,645,170 (24.09%); 2022: ₩6,591,750 (-43.39%); 2023: ₩9,273,921 (40.69%); 2024: ₩13,161,782 (41.92%); 2025: ₩12,982,265 (-1.36%)"
5,73,"₩19,346,794",1834.68%,510,"2014: ₩673,306 (-32.67%); 2015: ₩694,656 (3.17%); 2016: ₩715,987 (3.07%); 2017: ₩9,334,798 (1203.77%); 2018: ₩5,727,779 (-38.64%); 2019: ₩9,081,319 (58.55%); 2020: ₩15,096,210 (66.23%); 2021: ₩19,226,823 (27.36%); 2022: ₩10,787,332 (-43.89%); 2023: ₩14,672,645 (36.02%); 2024: ₩19,614,319 (33.68%); 2025: ₩19,346,794 (-1.36%)"
5,74,"₩16,067,144",1506.71%,506,"2014: ₩681,104 (-31.89%); 2015: ₩712,138 (4.56%); 2016: ₩799,018 (12.20%); 2017: ₩8,965,153 (1022.02%); 2018: ₩6,991,954 (-22.01%); 2019: ₩9,985,800 (42.82%); 2020: ₩16,633,596 (66.57%); 2021: ₩20,515,203 (23.34%); 2022: ₩11,980,961 (-41.60%); 2023: ₩12,630,139 (5.42%); 2024: ₩16,779,068 (32.85%); 2025: ₩16,067,144 (-4.24%)"
5,75,"₩15,587,757",1458.78%,512,"2014: ₩647,031 (-35.30%); 2015: ₩660,668 (2.11%); 2016: ₩797,445 (20.70%); 2017: ₩9,974,271 (1150.78%); 2018: ₩7,893,306 (-20.86%); 2019: ₩11,069,647 (40.24%); 2020: ₩16,745,354 (51.27%); 2021: ₩19,766,791 (18.04%); 2022: ₩10,651,761 (-46.11%); 2023: ₩11,235,686 (5.48%); 2024: ₩16,181,403 (44.02%); 2025: ₩15,587,757 (-3.67%)"
